,#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Unnamed: 15
0,1,CVE-2018-4237,264.0,,Priv,6/8/2018,7/17/2018,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in certain Apple products. iOS before 11.4 is affected. macOS before 10.13.5 is affected. tvOS before 11.4 is affected. watchOS before 4.3.1 is affected. The issue involves the ""libxpc"" component. It allows attackers to gain privileges via a crafted app that leverages a logic error."
1,2,CVE-2018-4219,704.0,,Priv,6/8/2018,7/13/2018,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in certain Apple products. macOS before 10.13.5 is affected. The issue involves the ""ATS"" component. It allows attackers to gain privileges via a crafted app that leverages type confusion."
2,3,CVE-2017-2437,119.0,,DoS Overflow +Priv Mem. Corr.,4/1/2017,7/11/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.4 is affected. The issue involves the ""IOFireWireAVC"" component. It allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
3,4,CVE-2017-2381,275.0,,Priv,4/1/2017,7/11/2017,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"An issue was discovered in certain Apple products. macOS before 10.12.4 is affected. The issue involves the ""sudo"" component. It allows remote authenticated users to gain privileges by leveraging membership in the admin group on a network directory server."
4,5,CVE-2016-7661,264.0,,Priv,2/20/2017,9/2/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. iOS before 10.2 is affected. macOS before 10.12.2 is affected. The issue involves the ""Power Management"" component. It allows local users to gain privileges via unspecified vectors related to Mach port name references."
5,6,CVE-2016-7660,264.0,,Priv,2/20/2017,10/30/2018,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. iOS before 10.2 is affected. macOS before 10.12.2 is affected. watchOS before 3.1.3 is affected. The issue involves the ""syslog"" component. It allows local users to gain privileges via unspecified vectors related to Mach port name references."
6,7,CVE-2016-7655,704.0,,DoS +Priv,2/20/2017,7/26/2017,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in certain Apple products. iOS before 10.2 is affected. macOS before 10.12.2 is affected. The issue involves the ""CoreMedia External Displays"" component. It allows local users to gain privileges or cause a denial of service (type confusion) via unspecified vectors."
7,8,CVE-2016-7637,119.0,,DoS Overflow +Priv Mem. Corr.,2/20/2017,10/30/2018,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. iOS before 10.2 is affected. macOS before 10.12.2 is affected. watchOS before 3.1.3 is affected. The issue involves the ""Kernel"" component. It allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
8,9,CVE-2016-7633,416.0,,DoS +Priv,2/20/2017,9/2/2017,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.2 is affected. The issue involves the ""Directory Services"" component. It allows local users to gain privileges or cause a denial of service (use-after-free) via unspecified vectors."
9,10,CVE-2016-4775,119.0,,DoS Overflow +Priv Mem. Corr.,9/25/2016,10/30/2018,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"The kernel in Apple OS X before 10.12, tvOS before 10, and watchOS before 3 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors."
